SNo,Name-of-Pothole,depth_intensity
1,Frame-1003-1.png,0.48736670769498913
2,Frame-1004-1.png,0.4665916388671023
3,Frame-1005-1.png,0.5411177098736384
4,Frame-1007-1.png,0.6673280915381263
5,Frame-1010-1.png,0.576097283137255
6,Frame-102-1.png,0.4424488874248365
7,Frame-103-1.png,0.5129303273028323
8,Frame-1030-1.png,0.5080338783093682
9,Frame-1041-1.png,0.5569774128104577
10,Frame-1050-1.png,0.6441453763485838
11,Frame-1052-1.png,0.6579558280610024
12,Frame-1066-1.png,0.5489929633289761
13,Frame-1067-1.png,0.4379659241655773
14,Frame-1068-1.png,0.46950465028322447
15,Frame-1069-1.png,0.6546997234858389
16,Frame-107-1.png,0.417308331956427
17,Frame-107-2.png,0.49090983416122
18,Frame-1070-1.png,0.5604066744400871
19,Frame-108-1.png,0.593322908845316
20,Frame-108-2.png,0.5121704967320263
21,Frame-1081-1.png,0.4479510644531591
22,Frame-1081-2.png,0.5177103355294118
23,Frame-1082-1.png,0.3754367186928104
24,Frame-1083-1.png,0.6015410758867101
25,Frame-1084-1.png,0.4020668094291939
26,Frame-1085-1.png,0.5425469716078432
27,Frame-1086-1.png,0.5362548393202614
28,Frame-1087-1.png,0.5242999184139433
29,Frame-1089-1.png,0.5258865168627451
30,Frame-109-1.png,0.479558757577342
31,Frame-109-2.png,0.38492475574727675
32,Frame-109-3.png,0.5240433901176471
33,Frame-1092-1.png,0.6038989236427016
34,Frame-1093-1.png,0.3312442379433553
35,Frame-1093-2.png,0.5487724361307189
36,Frame-1094-1.png,0.5366893679302833
37,Frame-1094-2.png,0.5119809297429194
38,Frame-1095-1.png,0.4745618330980392
39,Frame-1096-1.png,0.5107291043311547
40,Frame-1097-1.png,0.4288152105272331
41,Frame-1098-1.png,0.47839027491067543
42,Frame-1099-1.png,0.577437031372549
43,Frame-1099-2.png,0.3688380604270153
44,Frame-110-1.png,0.3393602258649237
45,Frame-1100-1.png,0.45532795332461873
46,Frame-1101-1.png,0.6006479050980392
47,Frame-1102-1.png,0.5812034600958605
48,Frame-1102-2.png,0.49939280944662306
49,Frame-1103-1.png,0.5289766092723311
50,Frame-1103-2.png,0.5126053603137255
51,Frame-1104-1.png,0.6487334060479303
52,Frame-1104-2.png,0.6172121799041397
53,Frame-1105-1.png,0.5063516557037038
54,Frame-1106-1.png,0.6347519949978213
55,Frame-1107-1.png,0.5051700548496733
56,Frame-1108-1.png,0.64413949859695
57,Frame-1109-1.png,0.5523819081830066
58,Frame-1109-2.png,0.6057900523050109
59,Frame-111-1.png,0.2053854918169934
60,Frame-1110-1.png,0.5756870070239651
61,Frame-1110-2.png,0.6019706098300655
62,Frame-1111-1.png,0.542086703808279
63,Frame-1112-1.png,0.47802675320261445
64,Frame-1113-1.png,0.5824247913725492
65,Frame-1113-2.png,0.45218951517211337
66,Frame-1114-1.png,0.5622143240958605
67,Frame-1114-2.png,0.4294328920087146
68,Frame-1115-1.png,0.3898682269455338
69,Frame-1115-2.png,0.5302914169934642
